ID,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
279,Programmer Data Analyst,$84K-$90K (Glassdoor est.),"Programmer Analyst

Job Description:

The Programmer Analyst will be responsible for building and implementing process improvement and data analytics solutions to support business needs. Candidate will have strong analytical skills and an eagerness to learn. Experience with data analytics and business intelligence is desirable.

Essential Functions:

• Technical capabilities (such as programming) and Functional capabilities (such as business process improvement) necessary to bring value to the role.

• Works with requestors and develops custom reports or application enhancements

• Evaluates, recommends and develops business process improvements and enhancements, including developing workflow diagrams and project plans from concept through implementation

• Develops requirements specifications according to standard templates.

• Identifies, analyzes, tests, and documents information for development of enhancements

• Collaborates with business leaders to continue the ongoing business and reporting process and help to resolve issues and improve processes

Qualifications:

• 5+ years of experience in a software development environment preferably in a healthcare environment

• Significant SQL experience

· Significant Programming Experience

· Experience with report development and analytical tools (Microsoft SSRS, PowerBI)

• Experience in database management, ETL and Custom Analytics strongly desired

• Excel power user with advanced knowledge of Power Query, VBA and macros

• Strong analytical, problem-solving, time management and organizational skills

BENEFITS:

Complete insurance coverage medical, dental, vision, life.

401(k) with company match.

Generous paid time off.",-1.0,Vestracare,"Valley Stream, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1
297,"Senior Analyst, Customer Master Data",$27K-$52K (Glassdoor est.),"OverviewThe Analyst / Senior Analyst of Customer Master Data is responsible for the creation and maintenance of customer master data (CMD) within SAP and any other applicable customer data warehoused tools (CRM). This person will work collaboratively across many business functions and be an integral team member as it relates to CMD analytics, reporting, and process improvement.Responsibilities* Responsible for timely new account creation with cross-functional input/communication* Existing customer data maintenance including managing linkage of accounts, consolidation and deactivation of duplications, removal of partner functions (direct customers), A3 error extraction, and creation of standard data entry guidelines* Proactive maintenance of regulatory agency licensing (e.g., DEA, State)* Participation as an active strategic partner in business decisions, especially when master data is involved* Business contributor for project work streams that include Customer Master Data and participate in Customer Master Data Projects* Monitoring of work queues, prioritizing incoming authorizations and effectively delegating tasks to members to ensure company standards and contract obligations are met* Responsible for the delivery of reports and requested information to stakeholders (e.g., auditors)* Execution of strategies, tools, and reporting processes to allow quantification of key performance measures for achieving our goal of master data excellence* Analysis of the quality of customer master data in accordance with master data standards and propose corrective action plans if necessary* Supporting the development of CMD policies and procedures and ensuring that they are accurately documented and meet compliance requirements* Ensuring awareness of and compliance with master data governance guidelines* Highlighting any CMD issues and propose action to resolve* Promotes capabilities of department and demonstrate how CMD can add value to all lines of business* Perform other duties as assigned by upper management in support of departmental goalsQualifications* Experience in SAP ERP* Experience in Master Data Management (MDM) systems managing master data (preferable)* Experience in Customer Resource Management (CRM) (preferable)* Highest level of accuracy and attention to detail* Situational analysis/independent thinking* Intermediate Excel* Ability to analyze complex problems and situations* Ability to synthesize data into management reports* Strong written and verbal communication and interpersonal skills needed in cross-team/user relationships.* Flexibility to work in a team setting or independently, depending on needs of the department.* Project management and execution experience, both individual and cross-functional.* Strong ability to organize, multi-task, prioritize, and manage time effectively, in order to work with little supervision.* Potential travel* Bachelor Degree or higher (preferable)* 3+ years' experience in a customer focusing pharmaceutical related environment (preferable)Notification to AgenciesPlease note that Hikma does not accept unsolicited resumes or calls from third-party recruiters or employment agencies. In the absence of a signed Master Service Agreement and approval from HR to submit resumes for a specific requisition, Hikma will not consider or approve payment to any third-parties for hires made.",3.3,"Hikma Pharmaceuticals
3.3","Berkeley Heights, NJ","London, United Kingdom",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),"Teva Pharmaceuticals, Sandoz International, Perrigo",-1
304,"Data & Reporting Analyst, GNHCC",$27K-$52K (Glassdoor est.),"VNA Health Group is a premiere Medicare/Medicaid-certified provider of home health, hospice, and community-based services. We’ve been serving families and individuals with the most advanced and comprehensive clinical home care in NJ since 1912.
About Greater Newark Health Care Coalition (GNHCC): The vision of the Greater Newark Health Care Coalition, Inc. is health equity for residents of Greater Newark. The mission is to work collaboratively to improve systems and community and individual conditions for optimal health and well-being. Core functions include: (1) neutral convening with coordination and alignment of local efforts, (2) data collection, sharing and analysis, (3) the design and testing of innovative strategies and (4) engagement in health policy, planning and advocacy.

Position Summary: The Data & Reporting Analyst will be an expert contributor and strategic thought partner for a variety of data-driven population health initiatives, including but not limited to working with internal and external stakeholders on population health analytics; supporting program officers with grant development, monitoring and evaluation; and other analytics initiatives in service of the GNHCC mission. This person is responsible for developing new data processes and systems, methodologies and analytical tools to support the organization’s ongoing efforts to manage, interpret, and activate data. This person should be a creative problem solver, equipped with a variety of approaches and tools for handling complex problems that arise in large, messy data sets from a multitude of sources.

This position is ideal for someone who has a passion for health care and social justice, and who is interested in innovative and creative ways to use data to drive transformation in health care. The Analyst is excited to learn and develop professionally and has the opportunity to work with leaders of health care institutions, local and state government, philanthropy, and peers in the field. S/he works with a team of Program Managers and has broad exposure to all aspects of developing analytic capacity at an innovative healthcare startup.
NOTE: THIS POSITION IS EXPECTED TO BE OFFICE BASED IN ESSEX COUNTY, NJ - NOT REMOTE OPPORTUNITY

• Be the subject matter expert for GNHCC and partner organizations on GNHCC-HIE data sets, reports, and data quality. Build and leverage advanced skills in all aspects of current HIE features and functionality, and identify opportunities for advancing HIE capabilities to meet the evolving needs of the coalition
• Work closely with internal and external data customers/stakeholders to define and manage quantitative projects involving data collection, integration, standardization, and analysis
• Create data extracts, reports, dashboards, visuals, forms, slide decks and other tools that contribute sophisticated yet pragmatic solutions to a broad range of data analytic problems. Present and explain data to diverse internal and external audiences (trustees, partners, funders, etc.).
• Collaborate with program teams to develop strategies related to program monitoring and evaluation. Perform data runs in support of project proposals to funders to ensure that indicators are specific and comply with the technical monitoring language
• Provide data analysis to inform organizational planning and future programming. Incorporate insights into reports and storytelling for the website and external communications.


• Advanced Degree in public health, social science or quantitative field, or Bachelor’s with 3+ years of data science/analytics experience
• Experience with population health and/or health policy research preferred
• Strong analytical and problem-solving skills. Expertise in quantitative and qualitative data analysis, including descriptive and inferential statistics
• Ability to generate data pulls, reports and presentations on research findings; Strong writing, communication and data-driven storytelling skills
• Ability to organize and project manage analytics efforts. Strong attention to detail
• Ability to work collaboratively with diverse stakeholders to assess needs and requirements for analytics support and elicit feedback
• Technical knowledge of program monitoring and evaluation to create indicators that capture a program’s outcomes
• Willingness to adhere to GNHCC’s guidelines on the appropriate handling of sensitive information
• Proficiency in SQL, Excel. Other statistical software packages and data visualization tools a plus (e.g., R, Tableau, ArcGIS)
• Familiarity with electronic health record and medical claims data a plus
Working Conditions/Physical Demand: use a laptop, phone, other office machines such as fax, copy, and scanner.",3.3,"VNA Health Group
3.3","Essex Fells, NJ","Holmdel, NJ",1001 to 5000 employees,1912,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1,-1
312,Data Science Lead Analyst,$27K-$52K (Glassdoor est.),"Title Data Science Lead Analyst Mandatory skills MS Office, R, Excel JIRA, Confluence medical management, clinical UX, CX Hadoop, Machine learning PCA, Principal component analysis Python, Topo, Sem Tableau, Tableau software Unix, UX SQL Hp ux, Integrator user experience, design, Visualization, Assembly Search engine marketing statistical analysis, regression, SEM, PCA FA Description Data Science Lead Analyst Duties Provides advanced professional input to complex Data Science assignmentsprojects. Responsible for the research, extraction and analysis of data. Evaluates and writes reports. May research and analyze algorithms. Provides statistical data trends to business partners such as medical management and underwriting. May also assist in the designing and implementation of systems to analyze and report findings. Combines IT capabilities with advanced clinical knowledge to determine trends, costbenefit ratios, and forecasting of health care costs, medical management, and health economics. Supports and provides direction to more junior professionals. Works autonomously, only requiring ldquoexpertrdquo level technical support from others. Exercises judgment in the evaluation, selection, and adaptation of both standard and complex techniques and procedures. Utilizes in-depth professional knowledge and acumen to develop models and procedures, and monitor trends, within Data Science. Skills Data wrangling and prep for analytics and data science Advanced statistical analysis (e.g. regression, SEM, PCAFA) Data visualization and story telling Presentations to partners and stakeholders Experimental design expertise Journey analytics assembly Experience design experience (UX, CX, etc.) R, Excel Tableau JIRA, Confluence and MS Office Education High School diploma advanced degree in relevant field preferred. 4-6 years of work experience in the Technology field and a broad knowledge of user experience, customer experience or other experience-focused design fields. Skills and Experience Required Skills Statistical analysis Additional skills Data visualization Documentation Integration Mapping Metrics Presentation skills Quantitative Refining User experience Visualization Assembly Data science Deployment Excel Experimental design Hadoop Hp-ux Integrator Jira Machine learning Microsoft excel Microsoft office Ms office Pca Principal component analysis Python Search engine marketing Sem Sql Tableau Tableau software Topo Unix Ux VIVA USA is an equal opportunity employer and is committed to maintaining a professional working environment that is free from discrimination and unlawful harassment. The Management, contractors, and staff of VIVA USA shall respect others without regard to race, sex, religion, age, color, creed, national or ethnic origin, physical, mental or sensory disability, marital status, sexual orientation, or status as a Vietnam-era, recently separated veteran, Active war time or campaign badge veteran, Armed forces service medal veteran, or disabled veteran. Please contact us at hrviva-it.com for any complaints, comments and suggestions. Contact Details Please send your resumes to ""staffing10viva-it.com"" and one of our recruiter will get in touch with you. VIVA USA INC. 3601 Algonquin Road, Suite 425 Rolling Meadows, IL 60008 staffing10viva-it.com httpwww.viva-it.com",4.6,"VIVA USA INC
4.6","Franklin Lakes, NJ","Rolling Meadows, IL",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1
322,Data Analyst,$42K-$74K (Glassdoor est.),"The Client

Our Client, operating in the Hospitality sector, is seeking an enthusiastic and ambitious Data Analyst.

Main Duties
Interpret data and analyze results
Provide analytical reporting and create data dashboards, graphs and visualisations
Mine and analyse large datasets, draw valid interpretations and present them successfully to management using a reporting tool
Assist in developing and implementing data collection systems, data analytics and other strategies that optimize statistical efficiency and quality


Requirements
Proven working experience as a data analyst or business data analyst with excellent numerical and analytical skills
Strong aptitude for collecting data from many sources, carry out analyses and provide insight from
the findings
Technical expertise regarding data models, database development, data mining and segmentation
techniques
Knowledge of statistics and experience using statistical packages for analyzing data
Fluent in English

ALL CANDIDATES MUST BE ELIGIBLE TO WORK IN EU

Should you require further information, please, call David on +356 2099 4444 or +356 9999 0319

For all our active vacancies please visit: https://www.quadconsultancy.com/recruitment",4.3,"Quad Consultancy
4.3","Mount Vernon, NY","Mosta, Malta",1 to 50 employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1
353,Senior Data Quality Analyst,$77K-$132K (Glassdoor est.),"Look for more than answers.At Quest, we are on a continuous journey of discovery and development. Its this attitude that has made us an industry leader and the #1 Diagnostic Lab in the US. For those joining us, we offer exciting and fast-moving career opportunities where you can affect change at a rate unheard of in many organizations of our size and scope. While we invest in and develop technology to drive our innovations, our ongoing success relies on our people.

As a Senior Data Quality Analyst, you will work for the world leader in the industry, with a career where you will have the opportunity to collaborate and affect change while expanding your leadership skills and technical knowledge. You can make a real impact in a market that is growing and developing.

Senior Data Quality Analyst, the role:

The Senior Data Quality Analyst provides data analysis expertise for the Data Governance program and is expected to have extensive knowledge of Quest applications and data. This professional supports the Enterprise Data Managers (EDM) in their support of our governed data domains, and serves as a Lead for our Data Quality Analyst team, representing Data Governance in meetings, discussions and by providing informative presentations. The Senior Data Quality Analyst must be able to work independently and apply technical and domain expertise to suggest and, upon approval, execute enhancements and improvements to serve the data governance program.

Job responsibilities:

• Data investigation, root cause analysis, data profiling and data lineage activities
• Identify, analyze, and interpret trends or patterns in complex data sets
• Build graphs, charts, animations, reports and presentations to clearly show data quality, and insights from data
• Support the development, maintain/monitor data quality rules, data standards and Governance policies
• Work with Data Governance Technical resources to develop and maintain Business Glossary Definitions, Metadata Definitions and Data Lineage
• Drive assigned corrective action to resolve identified data quality problems
• Lead and coordinate offshore Data Quality Analyst team members in methodologies, principles, practices, and tools as assigned
• Provide expertise in the implementation of the Data Governance toolset
• Support special project work as dictated by the Director and Enterprise Data Managers
• Provide support for Data Governance initiatives

To qualify, the ideal candidate will have the following skills and experience:

• 4+ years of experience working in a data analyst or similar role
• 3+ years of experience with Quest internal systems is preferred
• BS/BA in relevant field of study, or more experience may be used in lieu of degree
• Strong SQL, Visio and database skills; i.e. MS Access
• Proficient Metric / Report design and development, preferred
• Strong Analytical skills and the ability to identify trends
• Expertise in creating data quality rules to support governance initiatives
• Comfortable in creatively working with large sets of data
• Expertise in MS Excel, VB, and Tableau Reports
• Strong presentation skills focused on communicating current state driving change management
• Demonstrated leadership skills (project and personal) required
• Ability to communicate effectively with various levels in the organization (written and oral)
• Ability to explain complex or technical processes to someone who has little knowledge of the subject
• Demonstrated ability to understand complex concepts and processes quickly
• Previous clinical laboratory, health care or health related industry experience preferred

Apply Today

Join us for competitive benefits and development opportunities in a progressive and supportive environment. Help us improve our service, and the experiences of our patients and colleagues. Work with us and together we can be better.

Your Quest career. Seek it out.

All requirements are subject to possible modifications to reasonably accommodate individuals with disabilities. Quest Diagnostics is an Equal Opportunity Employer: Women / Minorities / Veterans / Disabled / Sexual Orientation / Gender Identity or Citizenship.

Job Requirements:",3.3,"Quest Diagnostics
3.3","Secaucus, NJ","Secaucus, NJ",10000+ employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"LabCorp, Bio-Reference Labs, Thermo Fisher Scientific",-1
359,Data Analyst - Cardiac Cath Lab,$77K-$132K (Glassdoor est.),"Data Analyst - Cardiac Cath Lab
Req #: 0000048995
Category: Nursing
Status: Full-Time
Shift: Day
Facility: RWJBarnabas Health Corporate Services
Location:
Cardiac Surgery Admin, 95 Old Short Hills Road, West Orange, NJ 07052

Job Summary:
The Cardiac Cath Lab Data Coordinator is primarily responsible for abstracting data from the electronic medical record and using proprietary software to enter data into specific cardiac registries. The candidate must be detail oriented, committed to high quality data abstraction, meet quality and productivity standards, function well independently and work well under time constraints to ensure deadlines are met.
Essential Functions:
Tracks and validates data accuracy and timeliness in accordance with specific registries.
Performs quality assurance tasks such as inter rater reliability (IRR) and validation tasks through audits as assigned.
Knowledge base must remain current regarding all registry updates and definitions including, but not limited to glossary specifications changes and additions.
The individual will be an integral part of the Cardiac Cath team attending meetings as required and participating on committees as needed.
Leveraging data abstraction and registries will assist in driving performance improvement efforts and reduce variation.
This individual will serve as an educational resource and subject matter expert to the professional staff, which will improve their understanding of required data required by registries.
Job Requirements:
Must be an Registered Nurse licensed in New Jersey with 3 years of recent Cath Lab experience.
Knowledge of cardiac anatomy and disease process is preferred.
Basic computer skills, that include the navigation of several electronic databases (Cerner, Allscripts, Epic, Excel, Lumedx, MERGE).
Excellent communication skills is a must serving as an educational resource on the Cardiac Cath registry for internal and external audiences as needed.
Ability to work remotely several days a week but travel to specific hospitals is required.
Hours are flexible.
Other Duties:
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

Additional Information:
We offer a great work environment, competitive rates and excellent benefits, including:
Medical/Dental/Vision plans
401 (k)
Vacation/Personal/Holiday/Sick Time Off
Short & Long Term Disability
Basic Life & Accidental Death Insurance
Tuition Reimbursement
Health Care/Dependent Care Flexible Spending Accounts
RWJBarnabas Health is the most comprehensive health care delivery system in New Jersey and the state s second largest private employer with more than 32,000 employees, 9,000 physicians and 1,000 residents and interns. The system includes eleven acute care hospitals, three acute care children s hospitals and a leading pediatric rehabilitation hospital (Children s Specialized Hospital).

RWJBarnabas Health is an Equal Opportunity Employer

Company Description:

Barnabas Health is New Jerseys largest integrated health care delivery system, providing treatment and services to more than two million patients each year. Throughout Barnabas Health, our dedicated physicians, nurses, and health professionals are committed to providing the highest quality of patient care and health education to the community and region.

Barnabas Health offers a broad depth and breadth of services and is one of the leading health care systems in the nation, receiving widespread recognition for clinical excellence and patient safety. Barnabas Healths network includes seven acute care hospitals, two childrens hospitals, a behavioral health center, including a statewide behavioral health network, ambulatory care facilities, geriatric centers, specialized womens health services, and comprehensive home care and hospice services. Our 5,200 doctors and 21,000 employees deliver top quality care to 1.5 million outpatients, 220,000 inpatients, and 540,000 Emergency Department patients, and deliver 20,000 babies each year.

We want our patients and their families to know that they can expect the highest level of care, delivered cost-effectively, wherever they see the name Barnabas Health. Each Barnabas employee contributes to a culture of responsibility, improvement, and quality at every one of our facilities, every day.",2.1,"Barnabas Health
2.1","West Orange, NJ","Gibsonia, PA",501 to 1000 employees,-1,Company - Public,-1,-1,$5 to $10 million (USD),-1,-1
364,"Data Analyst, Quality & Patient Safety",$77K-$132K (Glassdoor est.),"St. John's Episcopal Hospital is recruiting for a Data Analyst, Quality & Patient Safety. This is a non-union position, full time days and offers, benefits, tuition reimbursement, paid time off, etc.

Job Description:

The Data Analyst for Quality & Patient Safety reports directly to the Manager of Quality & Patient Safety department. Will serve as a key member of the Quality & Patient Safety department to facilitate and manage data from various sources and produce comprehensive analysis. The Date Analyst will coordinate databases and monitor for requirements as needed. Must be able to work with minimal supervision.

Duties include but are not limited to:
Serves as key operative and works closely with the IT department to ensure timely and accurate e-CQM and Midas Reporting.
Serves as the NYS Health Commerce System Coordinator for the facility. Maintains accounts and manages requests from the NYS DOH.
Collects and analyzes data. Develops written reports of findings. Assists in data analysis including development of graphs, quality dashboard, flowcharts, analysis tools including FMEA and scorecards, as requested. Supports performance improvement initiatives through the hospital, including data collection, validation and reporting.
Ensures timely generation, validation and submission of accurate performance data to designated regulatory agencies and government entities as required including HCAHPS, LiveON NY, Leapfrog, AHRO and Quintiles GWTG.
Manages the day to day operational aspects of assigned projects to include, but not limited to , Timeliness, Measurements, Efficiency of activities, Coordination, Communication of issues, Fully detailed work plans.
Bachelor's Degree

Excellent Communication skills

Strong analytical skills

Strong Microsoft Office

E O E",-1.0,Episcopal Health Services Inc.,"Far Rockaway, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1
373,"Senior Business Analyst, Data Management",$98K-$114K (Glassdoor est.),"The Senior Business Analyst, Data Management will be part of a team focused on the design, development and delivery of key operating metrics across the Plymouth Rock enterprise.

Essential Functions and Responsibilities:
Align metrics across the enterprise and document associated business logic and definitions.
Effectively manage projects of high complexity and maintain documentation of key decision points.
Analyze needs of various business stakeholders to identify and implement the best solution.
Coordinate business & IT data project discussions.
Design and implement test plans.
Validate data quality against business requirements.
Conduct post-release / post-implementation testing.
Ensure that datasets are maintained according to best practices.
Maintain a comprehensive library of technical terminology and documentation.
Build relationships and provide excellent customer service to internal and external business partners.
Ensure that the final product satisfies the requirements and meet end-user expectations.
Spot areas for improvement to enhance the team’s efficiency.
Qualifications and Education:
A Bachelor's degree from an accredited four-year college or university.
Understanding of and experience within the insurance industry is required.
Property and casualty industry experience preferred.
Expert SQL skills and experience with a data visualization / BI tool (Tableau).
Proficient working knowledge of Microsoft Office Suite products specifically Excel.
Excellent verbal and written communication skills.
Ability to communicate effectively to both technical and non-technical audiences.
Analytical and problem-solving abilities, with keen attention to detail.
Demonstrate strong organizational and time management skills in a project-based environment.
Ability to prioritize work independently, ensuring accuracy while meeting rigid deadlines.
Confidence in taking ownership of challenging business issues, making decisions with limited or incomplete data and seeing issues through to resolution.
About the Company
The Plymouth Rock Company and its affiliated group of companies write and manage over $1.4 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,800 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.",3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",-1
376,Data Analyst,$98K-$114K (Glassdoor est.),"Our client, one of the most reputable food manufacturing companies, is seeking a temporary to permanent Data Analyst to work directly with the Warehouse Director and Supply Chain team.

Salary/Hourly Rate:


$25 – 30/hr DOE

Position Overview:


The Data Analyst will be the main point of contact for all tracking, managing, cost maintenance, inventory and deliveries for their 5 domestic distribution centers.

Responsibilities of the Data Analyst:
Maintain communication with couriers for logistics
Track inventory of warehouses
Warehouse KPI consolidation
Creation of IOP & SOP’s
Create reports to track metrics
Create Purchase Orders
Follow up with finance for payments for distribution centers
Qualifications for the Data Analyst:


Must have experience with Excel and SAP
Ability to work independently and good communication skills
Position will require roughly 25% travel down the road
Prior experience with KPI’s and reporting
Education Requirements:


Bachelor’s Degree is preferred
Benefits:


Eligible for Atrium Care Package
The post Data Analyst appeared first on Atrium.",3.3,"Atrium Staffing
3.3","Parsippany, NJ","New York, NY",51 to 200 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Kelly,-1
380,JPSC-7462 - Data Analyst Lead - Sr. Tableau Lead,$98K-$114K (Glassdoor est.),"Overview

Role: Sr. Tableau Consultant
Work location: Whippany, NJ
Duration: 6 Months

Includes Data Modeler, Data Miner.) Responsible for importing, cleaning, transforming, validating and modeling data with the purpose of understanding and drawing conclusions from data (may be presented in charts, graphs, and/or tables). Also, design and develop relational databases for collecting and storing data and build and design data input and data collection mechanisms.

Required Skills and Experience:

You are responsible for data related activities such as data extraction, profiling, cleansing, de-duplication, standardization, conversion, transformation and loading, data mining, warehousing, archiving and reporting. Responsible for all activities required to ensure optimum performance and data integrity of databases in production environments, in line with the requirements. Responsible for server based databases in development and test environments including database software installation, database creation, performance and capacity design, backup and recovery design, security design.

Qualifications: 3-9 years experience, Bachelor's Degree.
Should be proficient in Software Engineering Techniques, Software Engineering Architecture, Software Engineering Lifecycle and Data Management.
Should have progressing skills in Business Analysis, Business Knowledge, Software Engineering Leadership, Architecture Knowledge and Technical Solution Design.
5-8 years experience in Tableau
Lead engagements with business stakeholders to identify and define analytics use cases with hypotheses for measurable business value
Identify and define leading KPI's and variables to target business outcomes and goals
Create dashboard designs (wireframes) and product features to make dashboards outcome-driven and actionable
Create interactive dashboards and visualizations leveraging Tableau based on KPI definitions and dashboard designs
Design and build performance-optimized Tableau data extracts
Deliver transformative solutions to clients via adoption best practices and promotion of an analytics culture
Provide thought leadership in data space

In the COMMENTS include:

Legal name:

Phone #:

Email address:

Daily Rate:

DOB (Date and Month) :

Skype ID :

Location (City and State):

Relocate:

Availability to start:

Visa type and expiration:

Hiring Status: C2C/W2/1099

Open for CTH:

Timeslots for phone conversation:

Timeslots for WebEx/video interview :

Summary:

Thanks Regards,

Syed Raza

Desk Number: 585 - 532 - 7200 Extension 9002

687 Lee Road, Suite 250, Rochester, NY 14606

Email : Syed.j@avanitechsolutions.com

Email: syed_j@iic.com

Gmail hangouts: syedraza199025@gmail.com

www.iic.com

www.avanitechsolutions.com",4.5,"Avani Technology Solutions
4.5","Whippany, NJ","Rochester, NY",501 to 1000 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
383,Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),"The Data Analyst III supports the Medicaid Health Care Assessment Program by assisting in the analysis of Medicaid Special Projects, acquiring and analyzing data, and preparing reports. In this role you will also coordinate the design of software applications to enhance project quality and productivity; supports and enhances data analysis activities through database programming and statistical analysis. Duties include but are not limited to: Synthesize input from workgroup members to design data collection tools, sampling strategies, work instructions, and data reports that meet internal and external customer needs. Develop, implement and maintain programs to extract information from various databases, analyze inter-rater reliability, calculate recurring statistics, and convert results into appropriate format for the department special project database(s) or reports. Serve as a SAS programming resource. Analyze statistical and epidemiological patterns of the data and provide written analyses reportsQUALIFICATIONS:* Strong analytical skills with the ability to prepare cogent analysis and reports using a variety of statistical, spreadsheet, and database programs, including but not limited to SAS, MS-Access, SQL.* Ability to clearly present qualitative and quantitative review/analysis findings to interested parties with various backgrounds.* Ability to handle all aspects in the full cycle of research projects.* Ability to work well independently and with moderate supervision.* Ability to relate well with technical and non-technical staff.EDUCATION & EXPERIENCE:* Master's degree in Health, Statistics, Computer Science, or a related field, required.* Two (2) years' experience in health or similar research and/or evaluation that involved extensive use of SAS and Access in data transformation, management and analysis, required or Advanced SAS Certification.IPRO offers competitive salaries, comprehensive health and dental coverage.IPRO is an Affirmative Action/Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status",-1.0,IPro.org,"Great Neck, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1
393,Sr. Data Analyst - RWE,$98K-$114K (Glassdoor est.),"Sr. Data Analyst - RWE If you are a Sr. Data Analyst - RWE with experience, please read on! Top Reasons to Work with Us We are an international healthcare consultancy specializing in end to end evidence development, optimization, and communication. The company's core competencies reside in Meta Research, Modeling, Data Analytics, Scientific Writing and Simulation Risk Analytics. Senior Management has over 50 years of life sciences experience working in pharma, medical device, consulting, and academia. Through our integrated capabilities in data analytics, epidemiology, health economics, market access and medical communications, we provide our clients with a competitive edge in this dynamic market environment. What You Will Be Doing Responsibilities: - Report directory to the group Director, working in teams to conduct real world data analyses for pharmaceutical, medical device and biotechnology clients. - Lead the design and execution of real world data analyses including development of statistical analysis plans (SAP) - Lead more junior analysts in the execution of project work - Synthesize study results and translate into key findings, interpret results in the context of product/market/industry dynamics, and communicate results to clients. - Independently develop high-quality client deliverables in a timely manner - Collaborate with Client Leads and junior analysts, including regular participation in knowledge sharing, training and mentorship activities What You Need for this Position MUST HAVE: - MS or PhD in related field - 3+ years of data analysis experience with Real World Evidence (RWE) data - Advanced programming skills in SAS or R - Experience working with claims, EMR, survey data - Pharmaceutical/Oncology industry experience NICE TO HAVE: - Tableau/Spotfire - Experience developing scientific communications (abstracts, posters) - HEOR data analysis experience What's In It for You - Competitive Salary DOE - 401(k) with match - Performance related bonus - Generous PTO - Comprehensive Benefits package So, if you are a Sr. Data Analyst - RWE with experience, please apply today! - Applicants must be authorized to work in the U.S.
CyberCoders, Inc is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",4.2,"CyberCoders
4.2","Hoboken, NJ","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
401,Data & Interface Analyst,$48K-$96K (Glassdoor est.),"Position Summary:

Analyst responsible for creating and maintaining interfaces between data sources and application systems using industry standard techniques and software. Additional responsibilities include (but are not limited to): Reconciling discrepancies between data sources; using industry standard reporting tools with databases such as SQL Server.

Responsibilities

Essential Job Functions:
1. Analyze incoming requests, gather business requirements, create specification documentation and implement systems solutions, such as, but not limited to the following:
a.System interfaces
b. File transfers
c. Report development from databases and data warehouses.
d. SQL Server programming to support interfaces, file transfers and reporting needs.
2. Liaison with vendors of data sources and application systems to ensure that interfaces and file transfer requirements are maintained.
3. Work as part of a team of a technical team to define and implement technical solutions to business requirements.



Qualifications
Minimum Requirements:

Education: BA/BS degree in Information Systems or equivalent IT experience
Skills & Trainings: At least three (3) years of various facets of SQL development experience including the use of ETL tools such as Microsoft SSIS and standard reporting tools such as Microsoft SSRS or SAP Crystal Reports.

Knowledge:

1. ETL process using industry standard software.

2. SQL Development techniques using an using industry standard database such as SQL Server or Oracle.

3. Database reporting process using industry standard reporting tools.

4. Excellent verbal and written communication skills

5. Must be able to participate in meetings with all levels of management within the organization

6. Detail oriented, excellent follow up",2.4,"Centers Plan for Healthy Living
2.4","Staten Island, NY","Staten Island, NY",501 to 1000 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
